comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,5,2,solo,180,200,1.000,0.000,0.000,0.969,1.9,0.00,0.031,1.000,1.514
trio-core,5,2,solo,300,200,1.000,0.000,0.000,0.968,2.0,0.00,0.032,1.000,1.514
trio-core,5,2,pack,180,200,1.000,0.000,0.000,0.999,14.0,0.00,0.001,1.000,1.529
trio-core,5,2,pack,300,200,1.000,0.000,0.000,0.999,14.1,0.00,0.001,1.000,1.529
trio-core,5,2,boss,180,200,1.000,0.000,0.000,0.973,25.6,0.00,0.027,1.000,1.516
trio-core,5,2,boss,300,200,1.000,0.000,0.000,0.973,25.9,0.00,0.027,1.000,1.516
trio-core,5,3,solo,180,200,1.000,0.000,0.000,0.919,3.9,0.00,0.081,1.000,1.489
trio-core,5,3,solo,300,200,1.000,0.000,0.000,0.920,3.9,0.00,0.080,1.000,1.489
trio-core,5,3,pack,180,200,1.000,0.000,0.000,1.000,16.5,0.00,0.000,1.000,1.530
trio-core,5,3,pack,300,200,1.000,0.000,0.000,1.000,16.5,0.00,0.000,1.000,1.530
trio-core,5,3,boss,180,200,1.000,0.000,0.000,0.943,32.2,0.00,0.057,1.000,1.501
trio-core,5,3,boss,300,200,1.000,0.000,0.000,0.941,32.1,0.00,0.059,1.000,1.500
trio-core,5,4,solo,180,200,1.000,0.000,0.000,0.896,4.2,0.00,0.104,1.000,1.477
trio-core,5,4,solo,300,200,1.000,0.000,0.000,0.897,4.2,0.00,0.103,1.000,1.478
trio-core,5,4,pack,180,200,1.000,0.000,0.000,0.947,20.9,0.00,0.053,1.000,1.503
trio-core,5,4,pack,300,200,1.000,0.000,0.000,0.948,20.9,0.00,0.052,1.000,1.503
trio-core,5,4,boss,180,200,1.000,0.000,0.000,0.946,42.0,0.00,0.054,1.000,1.502
trio-core,5,4,boss,300,200,1.000,0.000,0.000,0.945,41.9,0.00,0.055,1.000,1.502
trio-core,5,5,solo,180,200,1.000,0.000,0.000,0.938,6.2,0.00,0.062,1.000,1.498
trio-core,5,5,solo,300,200,1.000,0.000,0.000,0.939,6.2,0.00,0.061,1.000,1.499
