comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,5,3,pack,60,500,0.068,0.104,0.828,0.567,26.4,2.75,0.947,0.400,0.089
trio-core,5,3,pack,180,500,0.074,0.068,0.858,0.602,29.0,2.77,0.941,0.347,0.098
trio-core,5,3,boss,60,500,0.214,0.154,0.632,0.560,41.2,2.28,0.844,0.652,0.279
trio-core,5,3,boss,180,500,0.242,0.000,0.758,0.562,44.3,2.43,0.864,0.639,0.316
trio-core,5,4,solo,60,500,1.000,0.000,0.000,0.695,7.1,0.00,0.305,0.932,1.375
trio-core,5,4,solo,180,500,1.000,0.000,0.000,0.695,7.1,0.00,0.305,0.932,1.375
trio-core,5,4,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.426,0.000
trio-core,5,4,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.426,0.000
trio-core,5,4,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,5,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,5,5,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.434,0.000
trio-core,5,5,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.427,0.000
trio-core,5,5,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.464,0.000
trio-core,5,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.462,0.000
trio-core,5,5,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.428,0.000
trio-core,5,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.429,0.000
trio-core,5,6,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.434,0.000
trio-core,5,6,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.432,0.000
trio-core,5,6,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.441,0.000
trio-core,5,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.448,0.000
trio-core,5,6,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.429,0.000
trio-core,5,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.427,0.000
trio-core,5,7,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.497,0.000
trio-core,5,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
